Repo ID,Repo URL,Repo Name,Repo Rating,Repo Rank
9118893,https://github.com/creationix/js-git,creationix/js-git,3693,4800
288559703,https://github.com/vinayak-mehta/present,vinayak-mehta/present,3886,4500
688208,https://github.com/bitwiseshiftleft/sjcl,bitwiseshiftleft/sjcl,6487,2401
41523595,https://github.com/gilbarbara/react-joyride,gilbarbara/react-joyride,3627,4901
28340997,https://github.com/wasabeef/recyclerview-animators,wasabeef/recyclerview-animators,10575,1301
11765017,https://github.com/JetBrains/Exposed,JetBrains/Exposed,5047,3300
390510,https://github.com/benoitc/gunicorn,benoitc/gunicorn,7568,2001
120538304,https://github.com/kelseyhightower/nocode,kelseyhightower/nocode,46382,101
991475,https://github.com/brianc/node-postgres,brianc/node-postgres,9466,1501
18062944,https://github.com/fatih/vim-go,fatih/vim-go,13312,901
578839,https://github.com/universal-ctags/ctags,universal-ctags/ctags,4305,4001
24227875,https://github.com/liuruoze/EasyPR,liuruoze/EasyPR,5896,2701
2787839,https://github.com/axkibe/lsyncd,axkibe/lsyncd,4392,3901
1631570,https://github.com/nikic/PHP-Parser,nikic/PHP-Parser,14358,801
19614405,https://github.com/Mooophy/Cpp-Primer,Mooophy/Cpp-Primer,6079,2601
15055717,https://github.com/youtube/api-samples,youtube/api-samples,3807,4600
42464201,https://github.com/MiguelCatalan/MaterialSearchView,MiguelCatalan/MaterialSearchView,3755,4700
4999959,https://github.com/haiwen/seafile,haiwen/seafile,8575,1701
6688319,https://github.com/DeathKing/Learning-SICP,DeathKing/Learning-SICP,8206,1801
2465723,https://github.com/Sonarr/Sonarr,Sonarr/Sonarr,6261,2501
15019962,https://github.com/tldr-pages/tldr,tldr-pages/tldr,31280,201
28457823,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp/freeCodeCamp,322817,1
45947467,https://github.com/insin/nwb,insin/nwb,5298,3100
5844474,https://github.com/EventStore/EventStore,EventStore/EventStore,4141,4200
4047080,https://github.com/jmechner/Prince-of-Persia-Apple-II,jmechner/Prince-of-Persia-Apple-II,5432,3001
105412971,https://github.com/stereobooster/react-snap,stereobooster/react-snap,4229,4101
2630230,https://github.com/domchristie/turndown,domchristie/turndown,5567,2900
29981861,https://github.com/yahoo/CMAK,yahoo/CMAK,9948,1401
19935788,https://github.com/tmux-plugins/tpm,tmux-plugins/tpm,6953,2201
21827146,https://github.com/chrislusf/seaweedfs,chrislusf/seaweedfs,11740,1101
30794868,https://github.com/sampotts/plyr,sampotts/plyr,19525,501
7037996,https://github.com/VirusTotal/yara,VirusTotal/yara,4589,3701
103645588,https://github.com/iview/iview-admin,iview/iview-admin,15600,701
169149127,https://github.com/pomber/git-history,pomber/git-history,12481,1001
84742532,https://github.com/Zulko/eagle.js,Zulko/eagle.js,3968,4401
1673025,https://github.com/lancedikson/bowser,lancedikson/bowser,4804,3501
60273704,https://github.com/mozilla/DeepSpeech,mozilla/DeepSpeech,17092,601
31125362,https://github.com/bendc/frontend-guidelines,bendc/frontend-guidelines,7882,1900
23123294,https://github.com/angrave/SystemProgramming,angrave/SystemProgramming,5046,3302
20682114,https://github.com/JakeLin/SwiftLanguageWeather,JakeLin/SwiftLanguageWeather,5159,3201
34471600,https://github.com/Flipboard/bottomsheet,Flipboard/bottomsheet,4491,3801
440826,https://github.com/mleibman/SlickGrid,mleibman/SlickGrid,6710,2301
21299916,https://github.com/addyosmani/critical,addyosmani/critical,9014,1601
80256824,https://github.com/leandromoreira/digital_video_introduction,leandromoreira/digital_video_introduction,11135,1201
20101515,https://github.com/giampaolo/psutil,giampaolo/psutil,7225,2099
38095954,https://github.com/eternnoir/pyTelegramBotAPI,eternnoir/pyTelegramBotAPI,4054,4300
4600400,https://github.com/Redth/PushSharp,Redth/PushSharp,4305,4001
43437554,https://github.com/hyperoslo/Whisper,hyperoslo/Whisper,3692,4802
615969,https://github.com/racket/racket,racket/racket,3883,4502
137078487,https://github.com/vuejs/vue-next,vuejs/vue-next,21760,401
66830040,https://github.com/baidu/san,baidu/san,4391,3902
32484381,https://github.com/ripienaar/free-for-dev,ripienaar/free-for-dev,46342,102
5909706,https://github.com/yhirose/cpp-httplib,yhirose/cpp-httplib,4704,3600
182097305,https://github.com/cool-RR/PySnooper,cool-RR/PySnooper,14353,802
9476938,https://github.com/ronmamo/reflections,ronmamo/reflections,3626,4902
297165998,https://github.com/muesli/duf,muesli/duf,5896,2701
18440563,https://github.com/mxcl/PromiseKit,mxcl/PromiseKit,13300,902
14823879,https://github.com/blivesta/animsition,blivesta/animsition,3806,4602
34808241,https://github.com/WebAssembly/design,WebAssembly/design,10570,1302
12201538,https://github.com/aspnetboilerplate/aspnetboilerplate,aspnetboilerplate/aspnetboilerplate,9451,1502
6988020,https://github.com/SheetJS/sheetjs,SheetJS/sheetjs,25107,301
756967,https://github.com/nsf/gocode,nsf/gocode,4915,3401
24774658,https://github.com/boto/boto3,boto/boto3,6260,2502
